Date,LAT,LON,Intensity
10/6/2018 18:00,17.8,-86.6,25
10/6/2018 21:00,18,-86.8,25
10/7/2018 0:00,18.1,-86.9,25
10/7/2018 3:00,18.2,-86.9,28
10/7/2018 6:00,18.4,-86.8,30
10/7/2018 9:00,18.6,-86.6,33
10/7/2018 12:00,18.8,-86.4,35
10/7/2018 15:00,18.9,-86,40
10/7/2018 18:00,19.1,-85.7,45
10/7/2018 21:00,19.4,-85.6,48
10/8/2018 0:00,19.7,-85.5,50
10/8/2018 3:00,19.9,-85.5,55
10/8/2018 6:00,20.2,-85.4,60
10/8/2018 9:00,20.5,-85.2,63
10/8/2018 12:00,20.9,-85.1,65
10/8/2018 15:00,21.3,-85.1,70
10/8/2018 18:00,21.7,-85.1,75
10/8/2018 21:00,22.2,-85.1,80
10/9/2018 0:00,22.7,-85.2,85
10/9/2018 3:00,23.2,-85.5,85
10/9/2018 6:00,23.7,-85.8,85
10/9/2018 9:00,24.1,-86,88
10/9/2018 12:00,24.6,-86.2,90
10/9/2018 15:00,25.1,-86.3,95
10/9/2018 18:00,25.6,-86.4,100
10/9/2018 21:00,26.1,-86.5,105
10/10/2018 0:00,26.6,-86.5,110
10/10/2018 3:00,27.1,-86.6,115
10/10/2018 6:00,27.7,-86.6,120
10/10/2018 9:00,28.4,-86.5,123
10/10/2018 12:00,29,-86.3,125
10/10/2018 15:00,29.4,-85.9,133
10/10/2018 17:30,30,-85.5,140
10/10/2018 18:00,30.2,-85.4,135
10/10/2018 21:00,31,-84.9,108
10/11/2018 0:00,31.5,-84.5,80
10/11/2018 3:00,32.1,-83.9,65
10/11/2018 6:00,32.8,-83.2,50
10/11/2018 9:00,33.4,-82.5,48
10/11/2018 12:00,34.1,-81.7,45
10/11/2018 15:00,34.9,-80.9,45
10/11/2018 18:00,35.6,-80,45
10/11/2018 21:00,36.1,-78.9,48
10/12/2018 0:00,36.5,-77.7,50
10/12/2018 3:00,36.8,-76.5,55
10/12/2018 6:00,37.3,-75,60
10/12/2018 9:00,38.1,-72.9,60
10/12/2018 12:00,39.1,-70.6,60
10/12/2018 15:00,40.1,-68.4,60
10/12/2018 18:00,41.1,-66.1,60
10/12/2018 21:00,42.1,-63.9,63
10/13/2018 0:00,43.1,-61.5,65
10/13/2018 3:00,44,-58.8,65
10/13/2018 6:00,44.8,-55.7,65
10/13/2018 9:00,45.6,-52.1,65
10/13/2018 12:00,46.4,-48.2,65
10/13/2018 15:00,47,-44.4,65
10/13/2018 18:00,47.6,-40.7,65
10/13/2018 21:00,48.1,-36.9,65
10/14/2018 0:00,48.4,-33.1,65
10/14/2018 3:00,48.7,-29.4,65
10/14/2018 6:00,48.8,-26.1,65
10/14/2018 9:00,48.8,-23.2,63
10/14/2018 12:00,48.6,-20.7,60
10/14/2018 15:00,48.2,-18.4,58
10/14/2018 18:00,47.5,-16.4,55
10/14/2018 21:00,46.7,-14.8,55
10/15/2018 0:00,45.9,-13.5,55
10/15/2018 3:00,45.1,-12.3,53
10/15/2018 6:00,44.4,-11.4,50
10/15/2018 9:00,43.6,-10.7,43
10/15/2018 12:00,42.8,-10.3,35
10/15/2018 15:00,42,-10.1,35
10/15/2018 18:00,41.2,-10,35
